personid,post,performance,age,tenure,grosswage,children,bedroom,commute,men,married,wfh
22706,1,.56267262,26,36,3.2608311,0,yes,60,0,1,0
22878,0,-.46901467,27,35,2.5484579,0,yes,120,0,0,0
22878,1,-.2709654,27,35,2.5484579,0,yes,120,0,0,0
23136,0,.12801115,22,35,3.1753633,0,yes,60,1,0,1
23136,1,-.17407422,22,35,3.1753633,0,yes,60,1,0,1
23228,0,.87539351,23,35,3.9816256,0,yes,40,0,1,1
23228,1,1.2161572,23,35,3.9816256,0,yes,40,0,1,1
23516,0,-.21368292,24,35,3.3576355,0,yes,60,0,0,0
23516,1,-.29124084,24,35,3.3576355,0,yes,60,0,0,0
23622,0,1.3078856,25,35,4.1304722,0,yes,120,1,0,1
23622,1,1.5713433,25,35,4.1304722,0,yes,120,1,0,1
23686,0,-.39887717,20,35,2.8571634,0,yes,180,1,0,0
23686,1,-.24620004,20,35,2.8571634,0,yes,180,1,0,0
23772,0,-.40484375,21,35,3.6291912,0,yes,40,1,0,1
23772,1,-.042336151,21,35,3.6291912,0,yes,40,1,0,1
24142,0,1.1921102,29,34,4.9450345,0,yes,180,0,0,1
24142,1,1.4030797,29,34,4.9450345,0,yes,180,0,0,1
24322,0,-1.4208547,23,34,3.5393789,0,yes,30,1,0,0
24322,1,-1.251853,23,34,3.5393789,0,yes,30,1,0,0
24324,0,-.27646011,23,34,2.5267766,0,yes,35,1,0,1
24324,1,-1.286516,23,34,2.5267766,0,yes,35,1,0,1
24328,0,.32074082,24,34,3.0627234,0,yes,40,0,0,0
24328,1,-.5966565,24,34,3.0627234,0,yes,40,0,0,0
24340,0,.44810531,23,34,3.5642712,0,yes,40,0,0,0
24340,1,-1.2415035,23,34,3.5642712,0,yes,40,0,0,0
24608,0,-.62254584,34,34,3.8289921,1,yes,20,0,1,1
24608,1,-.32827559,34,34,3.8289921,1,yes,20,0,1,1
25074,0,.35808685,21,33,3.7054734,0,yes,30,0,0,0
25074,1,-1.2272005,21,33,3.7054734,0,yes,30,0,0,0
25084,0,-1.7056861,24,33,2.0531211,0,yes,90,1,0,0
25084,1,-1.6563666,24,33,2.0531211,0,yes,90,1,0,0
25094,0,-.40017989,25,33,3.0681798,0,yes,140,0,0,0
